iter	Logloss
0	0.6883618425
1	0.6844151195
2	0.6812476647
3	0.676959061
4	0.6735362541
55	0.666128205166	0.66394778
7	0.6596908104
8	0.6548907582
9	0.6510912267
10	0.6469700511
11	0.6428940471
12	0.638996543
13	0.6352142706
14	0.6306916214
15	0.6268094691
16	0.6229487628117	0.619482226511818	0.6202060811919	0.616953320	020	0.613013821	021	0.60948322	0.22	0.60503623	023	0.601245924	024	0.597424225	025	0.594016726	026	0.590472227	027	0.587163328	028	0.583423529	029	0.5798330	0.530	0.5764731	0.531	0.5734032	0.532	0.571033	0.5633	0.5680015378
34	0.5650499856
35	0.5619799451
36	0.5589726146
37	0.5557696645
38	0.552302942
39	0.549686711
40	0.5466348136
41	0.5437105691
42	0.5411414635
43	0.5387447636
44	0.5364670172
45	0.5340722247
46	0.5322694081
47	0.529712677
48	0.527222424
49	0.524492636
50	0.5220168044
51	0.5203756007
52	0.51721959
53	0.515194637
54	0.5138068315
55	0.5108804935
56	0.5084876084
57	0.5061119824
58	0.5034951931
59	0.501182184
60	0.4982409594
61	0.4961031472
62	0.4931074933
63	0.4904420434
64	0.4880941438
65	0.4862448995
66	0.4838116809
67	0.481399164
68	0.4789203551
69	0.4765531959
70	0.4741088123
71	0.4734751539
72	0.4705208104
73	0.4683643434
74	0.4663232943
75	0.4640647144
76	0.4620951211
77	0.4599827092
78	0.4573360071
79	0.4557319734
80	0.4538045744
81	0.4525853134
82	0.4505061638
83	0.4480146082
84	0.4457443516
85	0.444374224
86	0.4421791449
87	0.439907167
88	0.4376579843
89	0.4358037623
90	0.434119713
91	0.4321221142
92	0.4300551066
93	0.4281284053
94	0.4257455686
95	0.4235088069
96	0.4215910842
97	0.41969718
98	0.4175766736
99	0.4156507166
100	0.4139885786
101	0.4126095655
102	0.4107475746
103	0.4091161402
104	0.4072064656
105	0.4055159964
106	0.4039557852
107	0.4020489018
108	0.4006586307
109	0.3994707247
110	0.3977636942
111	0.3965321052
112	0.3946178715
113	0.3931560051
114	0.3915418764
115	0.3909858145
116	0.3891344768
117	0.3875509123
118	0.3861198193
119	0.3842135174
120	0.3821850986
121	0.3805633173
122	0.3788947594
123	0.3770944549
124	0.3762542678
125	0.3749074238
126	0.3737568041
127	0.372479276
128	0.3707137457
129	0.3692721855
130	0.367612234
131	0.3657245171
132	0.3649178947
133	0.3631696934
134	0.3617747004
135	0.360372869
136	0.3590026483
137	0.3582016549
138	0.3566338609
139	0.3549435313
140	0.3533745277
141	0.3519835588
142	0.3502255649
143	0.3490068157
144	0.3477444067
145	0.3466407497
146	0.34538283
147	0.3442509116
148	0.342801536
149	0.3415783208
150	0.3399391407
151	0.338561593
152	0.3380521449
153	0.3370375982
154	0.3355067649
155	0.334655878
156	0.3338018743
157	0.3326631872
158	0.3312632631
159	0.3300212767
160	0.3292451486
161	0.3281875703
162	0.3269093211
163	0.3257238342
164	0.3243798512
165	0.3234365045
166	0.3220591661
167	0.3206871312
168	0.3196566047
169	0.3184501136
170	0.3170306741
171	0.316077558
172	0.3151511216
173	0.3138339578
174	0.3128127587
175	0.311704938
176	0.310556877
177	0.3096178799
178	0.3085608133
179	0.3074957685
180	0.3065804272
181	0.3053839381
182	0.3044048402
183	0.3036045912
184	0.3027103005
185	0.3019304276
186	0.3008955514
187	0.3000431061
188	0.299171378
189	0.2979722837
190	0.2967870061
191	0.2959394222
192	0.2947573313
193	0.2938933954
194	0.2923142503
195	0.2912897715
196	0.2905074562
197	0.2895364529
198	0.2889466867
199	0.2876176602
200	0.2867342321
201	0.2857306643
202	0.2848248365
203	0.2839865801
204	0.2830578409
205	0.2822019763
206	0.2813927488
207	0.2809315891
208	0.2798383992
209	0.2787332767
210	0.2779106512
211	0.2769491382
212	0.2763390192
213	0.2759125407
214	0.275181119
215	0.2740513871
216	0.2730234193
217	0.2722266593
218	0.2715490388
219	0.2704955078
220	0.2698150728
221	0.2688857753
222	0.2683065694
223	0.2675108793
224	0.2669417451
225	0.2662896412
226	0.265326151
227	0.2647142875
228	0.2640187333
229	0.2629735063
230	0.2621656976
231	0.2611721551
232	0.2602180853
233	0.2592411972
234	0.2580613392
235	0.2574747597
236	0.2568165384
237	0.2559890282
238	0.2551971296
239	0.254394066
240	0.2534585813
241	0.2525985299
242	0.2518299382
243	0.2514506084
244	0.2507941781
245	0.2500805273
246	0.2494496601
247	0.2488006266
248	0.2480358961
249	0.2476454014
250	0.2470903629
251	0.2464052991
252	0.2454513457
253	0.2449271737
254	0.2439988299
255	0.2433792905
256	0.2426128387
257	0.2419537102
258	0.241012643
259	0.2404364377
260	0.2398442292
261	0.2390718693
262	0.2385609324
263	0.237719373
264	0.2370804577
265	0.2364413099
266	0.2357024216
267	0.2347944771
268	0.2342751666
269	0.2335052258
270	0.2327496133
271	0.232214602
272	0.2315102089
273	0.2306797446
274	0.2299577201
275	0.2290879226
276	0.2287247355
277	0.2282654832
278	0.2276129839
279	0.2271629427
280	0.2265690129
281	0.225730989
282	0.2252115389
283	0.2244804894
284	0.2237630937
285	0.223094475
286	0.2223999442
287	0.2218518606
288	0.2211507006
289	0.2205916149
290	0.2201333395
291	0.2195337342
292	0.2190166566
293	0.2184850879
294	0.2179902705
295	0.2171784843
296	0.2164998869
297	0.2158867906
298	0.2153099572
299	0.2148716624
300	0.2143335575
301	0.2137292071
302	0.2131312068
303	0.2127093804
304	0.2121236382
305	0.2116642696
306	0.2110558254
307	0.2106545146
308	0.2102507615
309	0.2097290086
310	0.2092152805
311	0.2086567762
312	0.208160726
313	0.2079762249
314	0.2073631752
315	0.20674973
316	0.206252447
317	0.2058427625
318	0.2055293525
319	0.2048875762
320	0.2043321423
321	0.2037615427
322	0.2032191114
323	0.2031246278
324	0.2026430223
325	0.2020249018
326	0.2013792178
327	0.2009280368
328	0.2004469895
329	0.1997643215
330	0.1992054218
331	0.1988054601
332	0.1980395433
333	0.1973402907
334	0.1967648995
335	0.1963434917
336	0.1959077789
337	0.1953704881
338	0.1949236567
339	0.1944506343
340	0.194306769
341	0.1938383521
342	0.1934953317
343	0.193060526
344	0.1924684338
345	0.1919483906
346	0.1914388377
347	0.19099724
348	0.1905548049
349	0.1902771229
350	0.1901828952
351	0.1896338812
352	0.1891706746
353	0.1887490459
354	0.1883999778
355	0.1878172944
356	0.1871243221
357	0.1867583205
358	0.1862290545
359	0.1857917134
360	0.1856775284
361	0.1850255873
362	0.1846725417
363	0.1842970615
364	0.183775297
365	0.1831978007
366	0.1827204169
367	0.1822961947
368	0.1819715616
369	0.1815052265
370	0.1810200854
371	0.1805846051
372	0.1802548199
373	0.1798700821
374	0.1795681046
375	0.1791918685
376	0.178861525
377	0.1783745696
378	0.177902966
379	0.1774114865
380	0.1770227828
381	0.1767159555
382	0.1762584477
383	0.1759577146
384	0.175591934
385	0.1752239902
386	0.1748613148
387	0.1745011051
388	0.174262198
389	0.173901651
390	0.1733121872
391	0.1729556642
392	0.1725393156
393	0.1722637037
394	0.1720387296
395	0.1716734607
396	0.171182237
397	0.1709110097
398	0.17051998
399	0.1701181807
400	0.1698379982
401	0.1694542257
402	0.1691592496
403	0.1688646572
404	0.1684988999
405	0.1681301419
406	0.1678810701
407	0.1675439928
408	0.1671297259
409	0.1667419294
410	0.1664454763
411	0.1660949661
412	0.1656297125
413	0.1650546818
414	0.1644707889
415	0.1641380729
416	0.1638014491
417	0.1635692643
418	0.1632215686
419	0.16290453
420	0.1624785633
421	0.1620880453
422	0.1617707508
423	0.1615106304
424	0.1614374068
425	0.1609155841
426	0.1605983129
427	0.1603032438
428	0.1600875622
429	0.1596776916
430	0.1593046305
431	0.1589663319
432	0.1586619819
433	0.1583415706
434	0.1579267921
435	0.1575011626
436	0.157233936
437	0.1569362501
438	0.156634133
439	0.1563611379
440	0.1560287708
441	0.1555959422
442	0.1552366861
443	0.1549162632
444	0.1546649468
445	0.1543068886
446	0.1540643297
447	0.1537147731
448	0.1533755209
449	0.153065286
450	0.1528620138
451	0.1525638859
452	0.1522850292
453	0.1520577407
454	0.1516778295
455	0.1513414964
456	0.1511196858
457	0.1507579524
458	0.1506657949
459	0.1504055581
460	0.1500809135
461	0.1498250729
462	0.1496058906
463	0.1493940819
464	0.1491936242
465	0.1490928371
466	0.1488307162
467	0.1485618498
468	0.1482586628
469	0.1480296298
470	0.1477552623
471	0.1474117651
472	0.1472179366
473	0.1469420456
474	0.1465946291
475	0.1463504884
476	0.1460343919
477	0.145852275
478	0.1455807221
479	0.1453495956
480	0.1451126192
481	0.1448522312
482	0.1446768598
483	0.1443928974
484	0.1440503888
485	0.1437416542
486	0.1433884923
487	0.1430852355
488	0.1428702634
489	0.1426691544
490	0.1423387295
491	0.1420346469
492	0.1418210239
493	0.141535631
494	0.1412458187
495	0.1410566423
496	0.1407784253
497	0.1405434725
498	0.1402945867
499	0.1400821035
500	0.139962301
501	0.1397314072
502	0.1393925737
503	0.1390452501
504	0.1386638734
505	0.1384051021
506	0.1381664625
507	0.137894014
508	0.1376182277
509	0.13735192
510	0.1371527765
511	0.1368606032
512	0.1365587421
513	0.1362745704
514	0.1360192415
515	0.1357793692
516	0.1355135848
517	0.1352430553
518	0.1351155072
519	0.1348720876
520	0.1345803912
521	0.1342499431
522	0.1340343894
523	0.1336891128
524	0.1334235494
525	0.1331811184
526	0.132916497
527	0.1327339731
528	0.1324465682
529	0.1321775274
530	0.1319145226
531	0.1317584573
532	0.1314803449
533	0.1312682105
534	0.1310936765
535	0.1309440427
536	0.130636913
537	0.1304208709
538	0.1301974087
539	0.1300929349
540	0.1299325431
541	0.1297981448
542	0.1294928062
543	0.1292578302
544	0.1290417415
545	0.1288345616
546	0.1285599848
547	0.1282511223
548	0.1280442098
549	0.1278358901
550	0.1275923659
551	0.1273408285
552	0.1270046699
553	0.1267249759
554	0.126499304
555	0.1263861656
556	0.126194512
557	0.1261626337
558	0.1257931779
559	0.1254698591
560	0.125267808
561	0.1249273812
562	0.1247236903
563	0.124539352
564	0.1243403598
565	0.1241810613
566	0.1240217162
567	0.1237645963
568	0.1235486473
569	0.1232187225
570	0.1230410832
571	0.1227619822
572	0.1225750156
573	0.1222737243
574	0.1221645867
575	0.1219808532
576	0.1217719055
577	0.1215144832
578	0.1213562198
579	0.1211472255
580	0.1209602705
581	0.1208029724
582	0.1206033055
583	0.1204036271
584	0.1203738887
585	0.1201777226
586	0.1199938495
587	0.1198377377
588	0.119655551
589	0.1194825289
590	0.1193319414
591	0.1191145036
592	0.1190859283
593	0.1189040556
594	0.1186896766
595	0.1184856136
596	0.1182397168
597	0.1180867218
598	0.1178112495
599	0.1176138389
600	0.1174120554
601	0.1172553737
602	0.1170205372
603	0.1168101939
604	0.1165956288
605	0.1164224555
606	0.1163310423
607	0.1161800245
608	0.1159338951
609	0.1156947438
610	0.1154629079
611	0.1152581471
612	0.1150364178
613	0.1148546033
614	0.1145938548
615	0.1143649613
616	0.1141862288
617	0.1139854803
618	0.1137213707
619	0.1135490464
620	0.1133855843
621	0.1131729382
622	0.1129697707
623	0.1129015481
624	0.112710976
625	0.1125965467
626	0.1124189191
627	0.1121658232
628	0.1119836365
629	0.1117601278
630	0.1115741846
631	0.11141363
632	0.1112179291
633	0.1109846511
634	0.1108286206
635	0.1107181456
636	0.1105265501
637	0.1103621111
638	0.1101790405
639	0.1100083677
640	0.1097854172
641	0.1095551049
642	0.1093581595
643	0.1091792642
644	0.1090390508
645	0.1088302426
646	0.1086170848
647	0.1084368752
648	0.1082943474
649	0.1080924941
650	0.1079768669
651	0.1078443295
652	0.1076768549
653	0.1075995375
654	0.1073747961
655	0.1072092754
656	0.1070260653
657	0.1067971485
658	0.1066600753
659	0.1065307129
660	0.1063460839
661	0.1060907783
662	0.1059658353
663	0.1057554222
664	0.1056350848
665	0.1055040127
666	0.1053107192
667	0.105151944
668	0.1050556462
669	0.104837941
670	0.1047158125
671	0.1044912222
672	0.1042655154
673	0.1040694772
674	0.1039733654
675	0.1038367574
676	0.1036668405
677	0.1034703255
678	0.1033530817
679	0.1031852932
680	0.1030007107
681	0.1029519221
682	0.1028477971
683	0.1026779733
684	0.1025368179
685	0.1023546893
686	0.1022378526
687	0.1020980812
688	0.1019706145
689	0.1017477105
690	0.1016406083
691	0.1015481018
692	0.1014173322
693	0.1012445078
694	0.1010405727
695	0.1008466279
696	0.1006549975
697	0.1004792423
698	0.1003553809
699	0.1002256812
700	0.1000113138
701	0.09984697947
702	0.09971003416
703	0.09955662053
704	0.09943610866
705	0.09926007434
706	0.09911534844
707	0.09893720906
708	0.09871786397
709	0.09855991457
710	0.09841770079
711	0.09819786723
712	0.09809056724
713	0.09794824879
714	0.09781870028
715	0.09764878343
716	0.09744968647
717	0.09725738153
718	0.0971596241
719	0.09707832918
720	0.09700275049
721	0.09680775898
722	0.09667118584
723	0.09648061962
724	0.09629476361
725	0.09611026252
726	0.09592801769
727	0.09576146777
728	0.09560725747
729	0.09544288821
730	0.09530277368
731	0.09513778221
732	0.0950209164
733	0.09489042584
734	0.09476459899
735	0.09463894076
736	0.09452301118
737	0.0943643756
738	0.09414648428
739	0.09396134353
740	0.0938521769
741	0.09369940293
742	0.09357809439
743	0.09347208535
744	0.09335950526
745	0.09324063906
746	0.09314404464
747	0.09297716327
748	0.09281808574
749	0.0926494075
750	0.09251253779
751	0.09235554207
752	0.09219345232
753	0.09200743931
754	0.09183347516
755	0.09165534741
756	0.09144695794
757	0.09129135783
758	0.09109439501
759	0.09095708335
760	0.09082194072
761	0.09067584247
762	0.09056563494
763	0.09045239774
764	0.09032771064
765	0.09021326391
766	0.0900408582
767	0.08995739425
768	0.08978284859
769	0.08965786492
770	0.08946382709
771	0.08932977769
772	0.08918452844
773	0.08901960094
774	0.08886672811
775	0.08879556888
776	0.08865698954
777	0.08856153488
778	0.08850294206
779	0.08835550634
780	0.08824576401
781	0.0880812203
782	0.08792249749
783	0.08779136146
784	0.0877171028
785	0.0876030166
786	0.0875156391
787	0.08736672634
788	0.08729218274
789	0.08714839889
790	0.08693590397
791	0.08678319978
792	0.08665361637
793	0.0865349537
794	0.08643029376
795	0.08632093523
796	0.08619527119
797	0.08608693611
798	0.08594829862
799	0.08583833532
800	0.08574362499
801	0.08561572796
802	0.08548395808
803	0.08536840067
804	0.08524452768
805	0.08511138544
806	0.08501067976
807	0.08488421905
808	0.08472521131
809	0.08454249545
810	0.0844320902
811	0.08428487545
812	0.08417750568
813	0.08405921517
814	0.08392995741
815	0.08376949589
816	0.08366211449
817	0.08359783452
818	0.0834806954
819	0.0833824902
820	0.08327334102
821	0.08314832827
822	0.08301887861
823	0.08290049506
824	0.08282694002
825	0.08272942101
826	0.08255984144
827	0.08251295439
828	0.08242895545
829	0.08232310923
830	0.082256573
831	0.08212600103
832	0.08198705534
833	0.08186961965
834	0.08174868328
835	0.08165115263
836	0.08154231746
837	0.08136921976
838	0.08122929713
839	0.08108851386
840	0.08095905257
841	0.08083064382
842	0.08069779233
843	0.08057192477
844	0.08047617936
845	0.08035088167
846	0.08025964877
847	0.08013419989
848	0.08000410475
849	0.07995732238
850	0.07985548857
851	0.07975121824
852	0.07965808961
853	0.0795451548
854	0.07941761249
855	0.0793087308
856	0.0791620743
857	0.07905705382
858	0.07895392906
859	0.07880187616
860	0.07870861379
861	0.07863549488
862	0.07851827435
863	0.078397652
864	0.07825697922
865	0.07814188701
866	0.07800825049
867	0.0779307819
868	0.07781642821
869	0.07767938986
870	0.07760891682
871	0.07747287285
872	0.07737918016
873	0.07729210505
874	0.07712483988
875	0.07700741
876	0.07688871826
877	0.07679870652
878	0.07667349606
879	0.0765476285
880	0.07641648083
881	0.0763144435
882	0.07621065582
883	0.07609555779
884	0.07600408647
885	0.07588494115
886	0.07578340391
887	0.07566892228
888	0.07556905398
889	0.07549565013
890	0.07536820668
891	0.07525227128
892	0.07510949344
893	0.07500408917
894	0.07490198787
895	0.07488719428
896	0.07476529842
897	0.07463159794
898	0.07448859331
899	0.07437420473
900	0.07425160524
901	0.07414618353
902	0.07403433614
903	0.07390583434
904	0.07378911972
905	0.07367985423
906	0.0735925814
907	0.07354801457
908	0.07342774694
909	0.0733105613
910	0.07322176491
911	0.07314552912
912	0.07301706221
913	0.07290028944
914	0.07283803312
915	0.07267854272
916	0.07257985487
917	0.07248932559
918	0.07238224076
919	0.0723078309
920	0.07221988352
921	0.07210480876
922	0.07199675862
923	0.07190690389
924	0.07177380236
925	0.07169510097
926	0.07161655659
927	0.07150644791
928	0.07146211368
929	0.07133962468
930	0.0712402274
931	0.07112796132
932	0.07104056056
933	0.07095617783
934	0.07082215751
935	0.07074332237
936	0.07064856552
937	0.07056554934
938	0.07043426211
939	0.0703252176
940	0.07022301744
941	0.07014774113
942	0.0700438546
943	0.06993914814
944	0.06985807419
945	0.06977058038
946	0.06967687607
947	0.06959211536
948	0.06949373571
949	0.06936301255
950	0.06924761795
951	0.06917868591
952	0.06906222134
953	0.06895362459
954	0.06883960817
955	0.06873677417
956	0.06864448873
957	0.06858624482
958	0.06850659557
959	0.06846422684
960	0.06839231747
961	0.06827678913
962	0.06818703326
963	0.06807513935
964	0.06793656
965	0.06781494327
966	0.06769760062
967	0.06762823244
968	0.06754176791
969	0.06745633265
970	0.06736316914
971	0.06724527987
972	0.06714634198
973	0.06706587861
974	0.06693302713
975	0.06681146854
976	0.06672802204
977	0.06663565519
978	0.06654487005
979	0.0664558934
980	0.06634805261
981	0.06627662007
982	0.06620661224
983	0.0661080814
984	0.06602965332
985	0.06592112053
986	0.06580769143
987	0.06571490009
988	0.06562686548
989	0.06554407027
990	0.06544374838
991	0.06536828018
992	0.06531043169
993	0.06520669053
994	0.06513087924
995	0.06504648488
996	0.06494205754
997	0.06485577327
998	0.06476851789
999	0.06468193705
.05718254462
998	0.05711278683
999	0.05702142018
