iter	Passed	Remaining
0	2	2372
1	4	2104
2	6	2057
3	8	2092
4	10	204255	14	2380
6	16	2278
7	17	2229
8	19	2190
9	21	2177
10	23	2128
11	25	2092
12	27	2069
13	29	2047
14	30	2031115	32	2019116	34	2007117	36	198818	37	1956
19	40	1975
20	42	1987
21	44	1964
22	46	1955
23	47	1945
24	49	1944
25	51	1937
26	53	1934
27	55	1927
28	57	1913
29	59	1929
30	61	1931
31	63	1932
32	65	1918
33	70	2004
34	72	2001
35	74	2000
36	76	1994
37	78	1987
38	80	1987
39	83	2009
40	85	2008
41	88	2016
42	90	2011
43	92	2008
44	94	2009
45	96	2003
46	98	2001
47	100	2001
48	102	1991
49	104	1993
50	106	1983
51	107	1961
52	109	1949
53	111	1954
54	114	1961
55	116	1964
56	118	1961
57	123	1997
58	124	1988
59	126	1983
60	128	1978
61	130	1971
62	131	1962
63	133	1958
64	136	1964
65	138	1957
66	140	1955
67	142	1951
68	144	1947
69	146	1944
70	148	1937
71	149	1921
72	151	1927
73	153	1920
74	155	1915
75	157	1916
76	159	1911
77	161	1907
78	163	1903
79	164	1897
80	166	1890
81	168	1881
82	169	1875
83	171	1871
84	173	1866
85	174	1857
86	176	1853
87	178	1850
88	180	1850
89	182	1848
90	184	1844
91	186	1841
92	188	1836
93	190	1833
94	192	1832
95	194	1827
96	195	1822
97	197	1818
98	199	1812
99	200	1807
100	202	1805
101	204	1801
102	206	1798
103	208	1796
104	210	1793
105	212	1791
106	214	1787
107	215	1782
108	217	1778
109	218	1769
110	220	1766
111	222	1764
112	224	1762
113	226	1758
114	228	1755
115	229	1746
116	231	1750
117	233	1748
118	235	1744
119	237	1741
120	239	1737
121	240	1734
122	242	1731
123	244	1730
124	246	1724
125	248	1721
126	250	1718
127	251	1715
128	254	1715
129	255	1711
130	257	1709
131	259	1707
132	261	1704
133	263	1701
134	264	1697
135	266	1694
136	268	1690
137	270	1690
138	272	1688
139	274	1686
140	276	1683
141	278	1681
142	279	1676
143	281	1673
144	283	1670
145	285	1667
146	286	1663
147	288	1660
148	290	1658
149	292	1657
150	294	1655
151	296	1653
152	297	1646
153	299	1645
154	301	1643
155	303	1640
156	305	1638
157	306	1635
158	308	1632
159	310	1630
160	313	1631
161	315	1630
162	318	1633
163	319	1629
164	321	1626
165	323	1623
166	324	1620
167	326	1616
168	328	1613
169	330	1611
170	332	1609
171	334	1609
172	336	1606
173	337	1603
174	340	1603
175	341	1600
176	345	1605
177	347	1603
178	349	1600
179	351	1599
180	352	1596
181	354	1593
182	356	1592
183	359	1594
184	361	1592
185	363	1589
186	365	1588
187	367	1585
188	368	1583
189	370	1580
190	372	1578
191	374	1575
192	376	1573
193	378	1570
194	379	1567
195	381	1563
196	383	1561
197	385	1559
198	386	1556
199	388	1553
200	390	1550
201	392	1548
202	394	1549
203	396	1548
204	398	1545
205	400	1545
206	403	1546
207	404	1541
208	406	1539
209	408	1536
210	411	1539
211	413	1537
212	415	1534
213	416	1530
214	418	1528
215	420	1526
216	422	1524
217	424	1522
218	426	1519
219	428	1518
220	430	1516
221	432	1514
222	434	1512
223	435	1509
224	437	1506
225	439	1503
226	441	1501
227	442	1499
228	444	1497
229	446	1494
230	448	1492
231	450	1490
232	452	1488
233	454	1486
234	455	1483
235	457	1481
236	459	1479
237	472	1511
238	473	1509
239	475	1506
240	477	1504
241	479	1501
242	481	1499
243	483	1497
244	484	1494
245	487	1492
246	489	1490
247	490	1488
248	492	1485
249	494	1482
250	496	1480
251	498	1478
252	499	1475
253	501	1473
254	503	1470
255	505	1467
256	506	1465
257	508	1463
258	510	1461
259	512	1459
260	514	1458
261	516	1455
262	518	1453
263	520	1450
264	522	1448
265	524	1446
266	525	1443
267	527	1441
268	529	1439
269	531	1437
270	533	1436
271	535	1434
272	538	1433
273	540	1430
274	541	1428
275	543	1426
276	545	1424
277	547	1421
278	549	1419
279	551	1417
280	552	1414
281	554	1412
282	556	1409
283	558	1407
284	560	1405
285	561	1402
286	563	1400
287	565	1397
288	567	1396
289	569	1393
290	572	1393
291	574	1392
292	576	1390
293	577	1387
294	579	1385
295	581	1382
296	583	1380
297	585	1378
298	586	1375
299	588	1373
300	590	1371
301	592	1369
302	594	1367
303	596	1364
304	597	1362
305	599	1359
306	600	1356
307	602	1353
308	604	1351
309	605	1348
310	607	1346
311	609	1344
312	612	1343
313	613	1340
314	615	1338
315	617	1336
316	619	1334
317	621	1333
318	623	1330
319	625	1328
320	627	1326
321	629	1324
322	630	1322
323	631	1318
324	635	1319
325	637	1317
326	640	1318
327	642	1316
328	644	1314
329	646	1313
330	648	1311
331	650	1309
332	652	1307
333	654	1305
334	656	1303
335	658	1300
336	659	1298
337	661	1296
338	663	1294
339	665	1292
340	666	1288
341	668	1286
342	670	1283
343	671	1281
344	673	1278
345	675	1276
346	677	1274
347	678	1271
348	680	1269
349	681	1266
350	683	1263
351	685	1261
352	687	1259
353	688	1257
354	690	1254
355	692	1252
356	693	1249
357	695	1248
358	697	1246
359	699	1243
360	700	1240
361	702	1237
362	704	1235
363	705	1233
364	707	1231
365	709	1229
366	711	1226
367	712	1224
368	714	1221
369	716	1219
370	718	1217
371	720	1216
372	722	1214
373	724	1212
374	727	1212
375	729	1210
376	731	1208
377	732	1205
378	734	1203
379	736	1201
380	738	1199
381	739	1197
382	741	1194
383	743	1192
384	745	1190
385	747	1189
386	749	1186
387	751	1184
388	753	1182
389	754	1180
390	756	1178
391	758	1176
392	760	1174
393	762	1172
394	763	1169
395	765	1167
396	766	1164
397	771	1166
398	773	1165
399	775	1162
400	776	1160
401	778	1157
402	780	1155
403	781	1153
404	784	1151
405	786	1150
406	788	1149
407	790	1147
408	792	1144
409	793	1142
410	795	1140
411	797	1138
412	799	1135
413	800	1133
414	802	1131
415	804	1128
416	806	1127
417	808	1125
418	809	1122
419	811	1120
420	813	1118
421	814	1116
422	816	1113
423	818	1111
424	819	1108
425	820	1106
426	822	1103
427	823	1100
428	825	1098
429	826	1095
430	829	1094
431	831	1092
432	832	1090
433	834	1087
434	835	1085
435	837	1083
436	838	1080
437	840	1078
438	841	1075
439	843	1073
440	845	1071
441	846	1068
442	848	1066
443	849	1063
444	851	1061
445	852	1059
446	854	1056
447	855	1054
448	856	1051
449	858	1049
450	859	1046
451	860	1043
452	862	1041
453	863	1038
454	865	1037
455	867	1034
456	868	1032
457	870	1029
458	871	1027
459	873	1024
460	874	1022
461	875	1019
462	877	1017
463	878	1014
464	880	1012
465	881	1009
466	882	1007
467	883	1004
468	885	1002
469	886	999
470	887	997
471	889	994
472	890	992
473	892	990
474	893	987
475	894	985
476	896	982
477	897	980
478	899	977
479	900	975
480	901	972
481	903	970
482	904	968
483	906	965
484	907	963
485	908	961
486	910	958
487	911	956
488	913	954
489	914	951
490	915	949
491	917	947
492	918	944
493	920	942
494	921	940
495	923	938
496	924	936
497	926	933
498	927	931
499	929	929
500	931	927
501	932	925
502	933	922
503	935	920
504	936	918
505	938	915
506	939	913
507	941	911
508	942	909
509	944	907
510	945	904
511	946	902
512	948	900
513	949	897
514	951	895
515	952	893
516	953	891
517	955	888
518	956	886
519	958	884
520	959	882
521	961	880
522	962	877
523	963	875
524	965	873
525	966	871
526	967	868
527	969	866
528	970	864
529	972	862
530	973	859
531	974	857
532	976	855
533	977	853
534	978	850
535	980	848
536	981	846
537	983	844
538	984	842
539	985	839
540	987	837
541	988	835
542	990	833
543	991	831
544	992	828
545	994	826
546	995	824
547	997	822
548	998	820
549	1000	818
550	1001	816
551	1002	813
552	1004	812
553	1006	809
554	1007	807
555	1008	805
556	1010	803
557	1011	801
558	1012	799
559	1014	796
560	1015	794
561	1017	792
562	1018	790
563	1019	788
564	1021	786
565	1022	784
566	1023	781
567	1025	779
568	1026	777
569	1028	775
570	1029	773
571	1030	771
572	1032	769
573	1033	767
574	1035	765
575	1036	763
576	1037	760
577	1039	758
578	1040	756
579	1042	754
580	1043	752
581	1045	750
582	1046	748
583	1047	746
584	1048	743
585	1049	741
586	1051	739
587	1052	737
588	1054	735
589	1055	733
590	1056	731
591	1058	729
592	1059	726
593	1060	724
594	1062	722
595	1063	720
596	1065	718
597	1066	716
598	1067	714
599	1069	712
600	1070	710
601	1071	708
602	1073	706
603	1074	704
604	1075	702
605	1089	708
606	1090	706
607	1091	703
608	1093	701
609	1094	699
610	1095	697
611	1097	695
612	1098	693
613	1099	691
614	1101	689
615	1102	687
616	1104	685
617	1105	683
618	1106	681
619	1108	679
620	1109	677
621	1110	675
622	1112	673
623	1113	671
624	1114	668
625	1116	666
626	1117	664
627	1119	662
628	1120	660
629	1121	658
630	1123	656
631	1124	654
632	1125	652
633	1127	650
634	1128	648
635	1130	646
636	1131	644
637	1132	642
638	1134	640
639	1135	638
640	1136	636
641	1138	634
642	1139	632
643	1140	630
644	1142	628
645	1143	626
646	1144	624
647	1146	622
648	1147	620
649	1148	618
650	1150	616
651	1151	614
652	1152	612
653	1154	610
654	1155	608
655	1156	606
656	1158	604
657	1159	602
658	1160	600
659	1161	598
660	1163	596
661	1164	594
662	1165	592
663	1167	590
664	1168	588
665	1170	586
666	1171	584
667	1172	582
668	1174	580
669	1175	579
670	1176	577
671	1178	575
672	1179	573
673	1180	571
674	1182	569
675	1183	567
676	1184	565
677	1186	563
678	1187	561
679	1189	559
680	1190	557
681	1191	555
682	1193	553
683	1194	551
684	1195	549
685	1197	547
686	1198	546
687	1199	544
688	1201	542
689	1202	540
690	1203	538
691	1205	536
692	1206	534
693	1208	532
694	1209	530
695	1211	529
696	1212	527
697	1213	525
698	1215	523
699	1216	521
700	1218	519
701	1219	517
702	1221	515
703	1222	513
704	1223	512
705	1225	510
706	1226	508
707	1227	506
708	1229	504
709	1230	502
710	1231	500
711	1233	498
712	1234	496
713	1235	495
714	1237	493
715	1238	491
716	1240	489
717	1241	487
718	1242	485
719	1244	483
720	1245	481
721	1247	480
722	1248	478
723	1249	476
724	1251	474
725	1252	472
726	1253	470
727	1255	469
728	1256	467
729	1258	465
730	1259	463
731	1260	461
732	1262	459
733	1263	457
734	1264	456
735	1266	454
736	1267	452
737	1269	450
738	1270	448
739	1272	447
740	1273	445
741	1275	443
742	1276	441
743	1278	439
744	1279	437
745	1280	436
746	1282	434
747	1283	432
748	1285	430
749	1286	428
750	1288	427
751	1289	425
752	1291	423
753	1292	421
754	1293	419
755	1295	418
756	1296	416
757	1297	414
758	1299	412
759	1301	410
760	1302	409
761	1303	407
762	1305	405
763	1306	403
764	1307	401
765	1309	399
766	1310	398
767	1312	396
768	1313	394
769	1315	392
770	1316	390
771	1317	389
772	1319	387
773	1320	385
774	1321	383
775	1322	381
776	1324	380
777	1325	378
778	1326	376
779	1328	374
780	1329	372
781	1330	370
782	1332	369
783	1333	367
784	1334	365
785	1336	363
786	1337	362
787	1338	360
788	1340	358
789	1342	356
790	1343	354
791	1344	353
792	1346	351
793	1347	349
794	1348	347
795	1350	346
796	1351	344
797	1353	342
798	1354	340
799	1356	339
800	1357	337
801	1358	335
802	1360	333
803	1361	331
804	1363	330
805	1364	328
806	1366	326
807	1367	324
808	1368	323
809	1370	321
810	1371	319
811	1372	317
812	1374	316
813	1375	314
814	1376	312
815	1377	310
816	1379	308
817	1380	307
818	1381	305
819	1383	303
820	1384	301
821	1385	300
822	1387	298
823	1388	296
824	1389	294
825	1391	293
826	1392	291
827	1393	289
828	1395	287
829	1396	286
830	1398	284
831	1399	282
832	1400	280
833	1402	279
834	1403	277
835	1404	275
836	1406	273
837	1407	272
838	1409	270
839	1410	268
840	1411	266
841	1413	265
842	1414	263
843	1415	261
844	1417	259
845	1418	258
846	1419	256
847	1421	254
848	1422	253
849	1423	251
850	1425	249
851	1426	247
852	1427	246
853	1429	244
854	1430	242
855	1431	240
856	1433	239
857	1434	237
858	1436	235
859	1437	234
860	1438	232
861	1440	230
862	1441	228
863	1443	227
864	1444	225
865	1445	223
866	1447	221
867	1448	220
868	1449	218
869	1451	216
870	1452	215
871	1453	213
872	1455	211
873	1456	209
874	1457	208
875	1459	206
876	1460	204
877	1461	203
878	1463	201
879	1464	199
880	1465	197
881	1466	196
882	1468	194
883	1469	192
884	1470	191
885	1472	189
886	1473	187
887	1474	186
888	1476	184
889	1477	182
890	1478	180
891	1480	179
892	1481	177
893	1482	175
894	1484	174
895	1485	172
896	1486	170
897	1487	168
898	1489	167
899	1490	165
900	1491	163
901	1492	162
902	1494	160
903	1495	158
904	1496	157
905	1497	155
906	1499	153
907	1500	151
908	1501	150
909	1502	148
910	1504	146
911	1505	145
912	1506	143
913	1508	141
914	1509	140
915	1510	138
916	1512	136
917	1513	135
918	1514	133
919	1516	131
920	1517	130
921	1519	128
922	1520	126
923	1521	125
924	1523	123
925	1524	121
926	1525	120
927	1527	118
928	1528	116
929	1529	115
930	1530	113
931	1531	111
932	1533	110
933	1534	108
934	1536	106
935	1537	105
936	1538	103
937	1540	101
938	1541	100
939	1542	98
940	1544	96
941	1545	95
942	1546	93
943	1547	91
944	1548	90
945	1550	88
946	1551	86
947	1552	85
948	1554	83
949	1555	81
950	1556	80
951	1558	78
952	1559	76
953	1560	75
954	1562	73
955	1563	71
956	1564	70
957	1566	68
958	1567	67
959	1568	65
960	1569	63
961	1571	62
962	1572	60
963	1574	58
964	1575	57
965	1576	55
966	1578	53
967	1579	52
968	1580	50
969	1582	48
970	1583	47
971	1584	45
972	1586	44
973	1587	42
974	1588	40
975	1590	39
976	1591	37
977	1592	35
978	1593	34
979	1595	32
980	1596	30
981	1597	29
982	1598	27
983	1600	26
984	1601	24
985	1602	22
986	1603	21
987	1605	19
988	1606	17
989	1607	16
990	1608	14
991	1609	12
992	1611	11
993	1612	9
994	1613	8
995	1615	6
996	1616	4
997	1618	3
998	1619	1
999	1621	0
